Feature,Gain
TotalSF,23.14372645305026
Overall Qual,17.570417007870937
Bsmt Qual,8.211597308843874
Gr Liv Area,4.267083640951123
RemodelAge,3.300531015987786
Kitchen Qual,3.150256140140251
Overall Cond,3.0743626996137654
Lot Area,2.9644142225582586
MS Zoning,2.819784272692498
Garage Area,2.723781243260232
Central Air,2.42873148507573
Fireplaces,2.062812938001598
Sale Condition,1.7390009499711403
HouseAge,1.6707985991208412
BsmtFin SF 1,1.359206465957316
Garage Cond,1.2231336298980737
Year Remod/Add,1.2140417418049545
Total Bsmt SF,1.2012261276093092
Neighborhood,1.1193915717558722
Full Bath,1.055507360910613
Bsmt Full Bath,1.0358337980164298
Paved Drive,1.0247294855651996
Bsmt Unf SF,0.8244997533992064
Lot Frontage,0.562949171783508
Heating QC,0.5564556450175594
Bsmt Exposure,0.5304655084928689
MS SubClass,0.5212176140086926
Condition 1,0.49697127998304796
2nd Flr SF,0.4889304205503151
Exter Cond,0.45343888202454985
Half Bath,0.4108859084543575
Functional,0.39511033239336874
Bedroom AbvGr,0.39203632898056734
Garage Finish,0.38963414123369894
Exter Qual,0.35448561843569354
Yr Sold,0.35370354037076956
Exterior 1st,0.3377968057363777
Roof Style,0.3219429836021807
Wood Deck SF,0.31540636155144774
BsmtFin Type 1,0.28026612993440997
Enclosed Porch,0.2716605716743965
Mo Sold,0.26163522971536507
Open Porch SF,0.253049261146265
Screen Porch,0.25282387681172
HasGarage,0.2468018905615659
House Style,0.2367007136883829
Foundation,0.2177269205071927
Lot Shape,0.21411056463197864
Exterior 2nd,0.19958329412558531
Land Slope,0.1809622196572871
Mas Vnr Area,0.1681373179200921
Sale Type,0.13826402906045085
Electrical,0.11305296013859567
Bldg Type,0.11126755565292852
Lot Config,0.09143115593155977
Garage Type,0.08391985285642374
Heating,0.08216708532817513
Mas Vnr Type,0.0736425733439754
Land Contour,0.06984765164795341
Bsmt Cond,0.05754659364159426
BsmtFin Type 2,0.04645767113143597
Garage Qual,0.04573801684074907
Roof Matl,0.03944785792754327
Kitchen AbvGr,0.031415131807931436
Street,0.022054818340904093
BsmtFin SF 2,0.021669041622551694
Has2ndFloor,0.020148485185530182
IsRemodeled,0.019227262673016613
Misc Val,0.01755880594638374
Low Qual Fin SF,0.016997710395636266
Bsmt Half Bath,0.015191436168712592
Condition 2,0.009746987762083737
Utilities,0.009578019197226027
Pool Area,0.007090986311924463
3Ssn Porch,0.0067818660382917804
HasBasement,0.0
